customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00017,Female,1,Yes,No,27,No,Yes,No,No internet service,No,No,No internet service,No,Yes,Two year,Yes,Credit card,61.48,2674.17,No
CUST_00018,Female,1,No,Yes,68,Yes,Yes,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card,105.66,4636.41,No
CUST_00019,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,One year,Yes,Mailed check,92.19,2409.98,Yes
CUST_00020,Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,108.39,3277.96,Yes
CUST_00021,Male,0,No,No,61,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,81.58,6140.83,Yes
CUST_00022,Female,1,No,No,49,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,33.03,2027.07,No
CUST_00023,Female,1,No,Yes,18,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No,Two year,No,Credit card,31.48,6726.88,No
CUST_00024,Female,1,Yes,No,68,Yes,No,DSL,No internet service,No,Yes,No,No internet service,Yes,One year,No,Bank transfer,24.8,3069.47,No
CUST_00025,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,76.71,4304.14,No
CUST_00026,Female,0,Yes,No,46,No,Yes,No,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,44.29,7541.49,No
CUST_00027,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,93.44,5481.92,Yes
CUST_00028,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer,88.62,5200.27,Yes
CUST_00029,Female,1,Yes,No,32,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,51.81,5721.7,No
CUST_00030,Male,1,Yes,Yes,12,Yes,Yes,No,No,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,37.68,7353.08,No
CUST_00031,Male,1,No,No,53,Yes,No,No,Yes,No,No,No internet service,Yes,No,Two year,Yes,Bank transfer,30.24,2063.26,No
CUST_00032,Female,1,Yes,No,6,Yes,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,93.73,4944.61,No
CUST_00033,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card,65.04,3263.11,No
CUST_00034,Female,0,No,No,18,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,52.35,193.66,No
CUST_00035,Male,1,Yes,No,53,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,105.67,1089.88,Yes
CUST_00036,Female,1,Yes,Yes,19,Yes,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,79.36,2667.44,No
CUST_00037,Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,No,Credit card,71.8,4563.5,Yes
CUST_00038,Male,0,Yes,Yes,23,Yes,No,No,No,Yes,No,Yes,No,No internet service,One year,No,Mailed check,94.34,7063.65,No
CUST_00039,Male,0,Yes,Yes,62,Yes,No phone service,No,Yes,Yes,No,No,Yes,No internet service,One year,No,Credit card,101.56,6349.8,Yes
CUST_00040,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,88.61,4471.34,No
CUST_00041,Male,0,No,No,7,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.0,683.58,No
CUST_00042,Female,0,Yes,No,61,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,57.93,2358.66,No
CUST_00043,Female,0,Yes,Yes,28,Yes,No phone service,No,No,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,97.17,2997.0,No
CUST_00044,Female,0,No,No,16,No,Yes,Fiber optic,No,No,No,Yes,No internet service,No,One year,Yes,Electronic check,71.79,5011.57,No
CUST_00045,Female,0,Yes,No,65,Yes,No,No,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Credit card,90.44,612.9,No
CUST_00046,Female,0,No,Yes,5,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer,109.04,4288.53,No
CUST_00047,Male,0,No,No,57,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No,Two year,No,Bank transfer,111.59,7221.57,No
CUST_00048,Female,0,Yes,No,68,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,47.77,5672.92,Yes
CUST_00049,Female,0,No,Yes,27,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No,One year,Yes,Bank transfer,38.79,6396.91,No
CUST_00050,Male,0,No,No,61,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No,One year,No,Bank transfer,46.13,5485.24,No
CUST_00051,Female,1,Yes,No,40,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,95.14,1732.05,No
CUST_00052,Male,0,No,Yes,68,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Two year,No,Credit card,57.01,972.82,No
CUST_00053,Female,0,No,No,40,Yes,Yes,DSL,No,No,No,No internet service,No internet service,No,Two year,No,Electronic check,37.34,6652.98,Yes
CUST_00054,Male,1,Yes,No,48,No,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,29.84,5594.49,No
CUST_00055,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer,52.73,4642.99,No
CUST_00056,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Two year,No,Electronic check,33.61,1595.33,Yes
CUST_00057,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,35.64,4866.43,No
CUST_00058,Male,0,Yes,No,9,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,88.39,347.44,No
CUST_00059,Male,0,No,No,34,Yes,No,No,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,21.97,1038.83,Yes
CUST_00060,Male,0,No,Yes,1,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,31.76,2563.93,Yes
CUST_00061,Male,0,No,No,23,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,No,Credit card,104.44,3605.53,No
CUST_00062,Male,0,No,No,37,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No internet service,Two year,No,Mailed check,104.49,1052.46,Yes
CUST_00063,Male,0,No,No,21,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,52.92,1047.53,No
CUST_00064,Male,0,No,Yes,25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,28.8,5834.56,No
CUST_00065,Female,0,No,No,42,Yes,No phone service,No,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,90.5,4600.78,No
CUST_00066,Female,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No,One year,No,Credit card,56.01,4316.56,No
CUST_00067,Male,0,Yes,Yes,38,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No,One year,Yes,Electronic check,24.55,3674.23,No
CUST_00068,Female,1,No,Yes,28,Yes,Yes,No,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Electronic check,35.78,7814.69,No
CUST_00069,Female,0,No,No,19,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No,One year,No,Credit card,33.72,493.42,No
CUST_00070,Female,0,Yes,No,40,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer,78.91,1526.95,No
CUST_00071,Female,0,No,No,53,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,One year,No,Credit card,109.81,5215.31,No
CUST_00072,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,Yes,Electronic check,99.31,1177.29,No
CUST_00073,Female,0,Yes,No,18,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,74.65,4756.11,Yes
CUST_00074,Male,1,Yes,No,65,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,No,One year,No,Mailed check,62.22,4585.31,No
CUST_00075,Female,1,No,No,29,Yes,No,DSL,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card,81.87,7770.94,No
CUST_00076,Female,0,No,Yes,52,No,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card,64.38,7078.75,No
CUST_00077,Female,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card,44.61,7569.87,Yes
CUST_00078,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,87.92,997.46,No
CUST_00079,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Two year,No,Bank transfer,107.32,6958.37,No
CUST_00080,Male,0,Yes,Yes,5,Yes,No phone service,DSL,No,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,57.29,1119.82,No
CUST_00081,Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No,One year,Yes,Mailed check,104.15,5100.16,No
CUST_00082,Male,0,No,No,9,No,Yes,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,63.11,5788.62,No
CUST_00083,Female,0,Yes,No,47,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,60.13,1370.74,No
CUST_00084,Male,0,No,No,69,Yes,No phone service,DSL,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,22.83,5098.01,No
CUST_00085,Male,0,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,89.53,514.44,Yes
CUST_00086,Female,0,No,Yes,58,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,One year,No,Credit card,100.75,2416.8,No
CUST_00087,Male,0,No,No,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,86.36,7377.15,Yes
CUST_00088,Female,0,No,No,28,Yes,No phone service,No,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer,35.14,1456.68,No
CUST_00089,Female,0,No,No,67,Yes,No phone service,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,30.33,615.63,Yes
CUST_00090,Female,0,No,No,64,Yes,No phone service,No,No internet service,No,No internet service,No,Yes,Yes,One year,No,Credit card,77.29,3605.06,No
CUST_00091,Female,0,No,No,25,Yes,Yes,No,No,No,Yes,No,No,No,Month-to-month,No,Credit card,60.15,6819.88,No
CUST_00092,Female,0,Yes,Yes,9,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,62.91,705.71,No
CUST_00093,Female,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,116.78,2908.73,No
CUST_00094,Female,1,Yes,Yes,58,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card,92.39,7208.22,No
CUST_00095,Female,0,No,No,21,Yes,Yes,No,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer,61.18,1033.43,Yes
CUST_00096,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Mailed check,21.91,2554.28,No
CUST_00097,Female,0,Yes,No,47,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,No,Bank transfer,23.41,6249.52,No
CUST_00098,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,One year,Yes,Electronic check,88.48,4391.37,Yes
CUST_00099,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,Yes,Mailed check,103.77,6675.43,Yes
CUST_00100,Male,0,Yes,No,29,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No,One year,Yes,Bank transfer,90.77,981.6,Yes
CUST_00101,Female,0,Yes,No,24,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Bank transfer,60.59,7372.38,Yes
CUST_00102,Female,0,Yes,Yes,27,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Electronic check,23.11,7485.8,No
CUST_00103,Female,0,No,No,64,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,116.74,1326.97,Yes
CUST_00104,Female,0,No,No,44,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card,118.63,367.62,No
CUST_00105,Female,0,Yes,No,67,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,Two year,Yes,Credit card,74.94,7919.75,Yes
CUST_00106,Female,0,No,No,6,Yes,No,DSL,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,27.07,3909.79,No
CUST_00107,Female,0,No,No,48,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,74.1,4619.4,No
CUST_00108,Female,0,Yes,Yes,8,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,One year,Yes,Bank transfer,109.23,4965.65,No
CUST_00109,Male,0,No,No,35,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Electronic check,88.0,6338.38,Yes
CUST_00110,Female,0,Yes,Yes,0,Yes,No phone service,No,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,No,Credit card,92.0,6514.7,No
CUST_00111,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer,28.5,1632.01,Yes
CUST_00112,Female,0,No,Yes,35,Yes,No phone service,No,No,Yes,No,No,No internet service,Yes,Two year,Yes,Bank transfer,30.65,1969.43,Yes
CUST_00113,Female,0,No,No,45,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Electronic check,32.73,7026.98,Yes
CUST_00114,Male,1,No,No,31,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,110.44,6574.19,No
CUST_00115,Female,1,Yes,Yes,31,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,One year,No,Electronic check,72.58,4979.19,No
CUST_00116,Male,0,Yes,No,5,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No,Two year,No,Mailed check,99.16,7958.12,No
CUST_00117,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Two year,No,Credit card,31.53,5907.95,No
CUST_00118,Female,1,No,Yes,37,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,No,Bank transfer,112.76,1805.11,No
CUST_00119,Male,0,No,No,16,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,102.11,6788.49,No
CUST_00120,Female,0,No,No,26,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Electronic check,42.48,3376.39,No
CUST_00121,Male,0,Yes,No,53,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,107.42,385.61,No
CUST_00122,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,One year,Yes,Credit card,46.34,2639.23,Yes
CUST_00123,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,One year,Yes,Credit card,40.53,6132.05,No
CUST_00124,Male,0,Yes,No,24,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,One year,Yes,Mailed check,46.42,7685.63,No
CUST_00125,Female,0,No,No,27,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card,111.0,2281.48,No
CUST_00126,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,One year,Yes,Credit card,111.56,2047.48,No
CUST_00127,Male,0,No,Yes,3,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,52.9,4552.57,No
CUST_00128,Female,0,Yes,No,26,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Credit card,90.54,6512.3,No
CUST_00129,Female,0,No,No,25,Yes,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Mailed check,87.57,5997.55,Yes
CUST_00130,Female,0,No,Yes,18,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,No,Credit card,100.66,4523.68,No
CUST_00131,Male,1,Yes,Yes,16,Yes,No,No,No internet service,No internet service,Yes,No,Yes,Yes,Two year,No,Mailed check,49.65,5087.98,No
CUST_00132,Male,0,No,No,42,Yes,Yes,No,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,71.01,2012.58,No
CUST_00133,Male,0,Yes,No,40,No,No,DSL,Yes,No internet service,No,No,No,Yes,One year,No,Bank transfer,86.77,3517.34,No
CUST_00134,Male,0,No,No,41,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,No internet service,One year,No,Electronic check,22.63,2117.39,Yes
CUST_00135,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card,57.67,7086.9,No
CUST_00136,Male,0,No,Yes,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,89.59,989.18,No
CUST_00137,Male,0,No,No,38,Yes,No,No,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card,45.26,5469.95,No
CUST_00138,Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card,115.77,2156.24,No
CUST_00139,Male,0,Yes,No,51,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,23.02,3857.06,Yes
CUST_00140,Female,0,No,No,46,Yes,Yes,DSL,No,No internet service,Yes,No,No,Yes,Two year,No,Credit card,115.81,2465.36,Yes
CUST_00141,Male,0,Yes,No,62,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,41.68,2653.64,No
CUST_00142,Female,0,Yes,No,68,Yes,No,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,24.88,2157.1,No
CUST_00143,Female,0,Yes,No,42,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,49.25,6047.06,No
CUST_00144,Female,0,Yes,No,47,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer,98.63,2989.16,No
CUST_00145,Male,1,No,No,33,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,95.24,5838.22,Yes
CUST_00146,Male,0,No,No,39,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,40.88,3702.95,Yes
CUST_00147,Male,0,Yes,No,60,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,Yes,One year,No,Bank transfer,39.68,4423.24,No
CUST_00148,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.26,4391.97,No
CUST_00149,Female,0,Yes,No,66,Yes,No,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,65.81,7809.23,No
CUST_00150,Male,0,Yes,No,61,No,No,DSL,No,No internet service,Yes,No internet service,Yes,No,One year,No,Mailed check,99.23,2999.79,No
CUST_00151,Male,0,No,Yes,57,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Credit card,22.41,1740.7,No
CUST_00152,Male,0,No,No,32,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,81.04,7303.16,Yes
CUST_00153,Male,0,Yes,No,15,Yes,No phone service,DSL,No internet service,No,Yes,No,Yes,No,One year,No,Credit card,93.07,1481.23,No
CUST_00154,Male,0,Yes,Yes,47,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No,One year,No,Bank transfer,119.34,6691.94,Yes
CUST_00155,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,87.88,1286.7,No
CUST_00156,Male,0,No,Yes,37,Yes,No,No,No internet service,No,Yes,No internet service,No,No,One year,Yes,Credit card,43.18,5303.92,No
CUST_00157,Female,0,Yes,No,18,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Bank transfer,30.82,1289.27,No
CUST_00158,Male,0,No,No,35,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,84.09,7392.38,Yes
CUST_00159,Female,0,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,72.32,4563.57,No
CUST_00160,Male,0,No,No,62,No,No,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,109.91,2701.26,No
CUST_00161,Male,1,Yes,No,45,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,92.66,1208.55,Yes
CUST_00162,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,Yes,One year,No,Credit card,70.97,3032.42,Yes
CUST_00163,Female,0,Yes,No,64,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,One year,No,Electronic check,60.36,5669.66,No
CUST_00164,Female,0,Yes,No,7,Yes,No,DSL,Yes,No,No internet service,No,No,Yes,One year,No,Mailed check,60.44,3141.11,No
CUST_00165,Male,0,Yes,No,50,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card,42.63,2044.14,No
CUST_00166,Female,0,No,No,5,Yes,No,No,Yes,No internet service,No,Yes,Yes,Yes,One year,No,Credit card,21.73,4661.53,Yes
CUST_00167,Male,0,Yes,Yes,38,Yes,No,DSL,Yes,No,No,Yes,Yes,No internet service,One year,No,Electronic check,77.49,3400.79,No
CUST_00168,Male,0,No,No,59,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,41.24,1409.87,Yes
CUST_00169,Female,0,No,No,27,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer,40.83,1316.51,No
CUST_00170,Female,0,Yes,No,53,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,No,Credit card,32.54,5688.95,No
CUST_00171,Male,1,Yes,Yes,36,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,38.96,7799.91,No
CUST_00172,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No,No,No internet service,Yes,One year,No,Electronic check,23.18,1941.44,No
CUST_00173,Female,0,No,No,55,Yes,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Credit card,87.42,6207.87,No
CUST_00174,Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Electronic check,60.14,792.09,Yes
